"idhod","hodnota","stapro_kod","typezar_cis","typezar_kod","pnet_cis","pnet_kod","pocdospvdom_cis","pocdospvdom_kod","pocdetivdom_cis","pocdetivdom_kod","velskupobce_cis","velskupobce_kod","kvartilcpdom_cis","kvartilcpdom_kod","rok","uzemi_cis","uzemi_kod","uzemi_txt","stapro_txt","typezar_txt","pnet_text","pocdospvdom_txt","pocdetivdom_txt","velskupobce_txt","kvartilcpdom_txt"
"916837688","57.5","7638","183","3",,,"7700","400001600002000","7700","400001799999000",,,,,"2008","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"1","1 a více",,
"916837334","24.5","7638","183","3",,,"7700","400001600002000","7700","400000600001000",,,,,"2008","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"1","0",,
"916837881","78.3","7638","183","3",,,"7700","400003799999000","7700","400001799999000",,,,,"2008","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"3 a více","1 a více",,
"916837789","75","7638","183","3",,,"7700","400002600003000","7700","400001799999000",,,,,"2008","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"2","1 a více",,
"916837222","39","7638","183","3",,,,,"7700","400000600001000",,,,,"2008","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,"0",,
"916837207","47.7","7638","183","3",,,,,,,,,,,"2008","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,
"916837561","73.2","7638","183","3",,,"7700","400003799999000","7700","400000600001000",,,,,"2008","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"3 a více","0",,
"916837452","34.3","7638","183","3",,,"7700","400002600003000","7700","400000600001000",,,,,"2008","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"2","0",,
"916837576","73.5","7638","183","3",,,,,"7700","400001799999000",,,,,"2008","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,"1 a více",,
"916837992","63.9","7640",,,,,"7700","400002600003000","7700","400001799999000",,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,,"2","1 a více",,
"916837813","66.9","7640",,,,,"7700","400003799999000","7700","400000600001000",,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,,"3 a více","0",,
"916837606","34.6","7640",,,,,,,"7700","400000600001000",,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,,,"0",,
"916837915","49.3","7640",,,,,"7700","400001600002000","7700","400001799999000",,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,,"1","1 a více",,
"916837920","27.5","7640",,,"5725","02",,,"7700","400000600001000",,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,"0",,
"916837591","41.7","7640",,,,,,,,,,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,,,,,
"916838068","66.9","7640",,,,,"7700","400003799999000","7700","400001799999000",,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,,"3 a více","1 a více",,
"916837701","20.9","7640",,,,,"7700","400001600002000","7700","400000600001000",,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,,"1","0",,
"916837716","30.2","7640",,,,,"7700","400002600003000","7700","400000600001000",,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,,"2","0",,
"916838088","49.8","7640",,,"5725","02",,,"7700","400001799999000",,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,"1 a více",,
"916837900","62.6","7640",,,,,,,"7700","400001799999000",,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,,,"1 a více",,
"916837845","34.4","7640",,,"5725","02",,,,,,,,,"2008","97","19","Česká republika","Domácností s přístupem k internetu",,"Vysokorychlostní připojení",,,,
"916837690","70.6","7638","183","3",,,"7700","400001600002000","7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"1","1 a více",,
"916837336","28.6","7638","183","3",,,"7700","400001600002000","7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"1","0",,
"916837883","87.9","7638","183","3",,,"7700","400003799999000","7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"3 a více","1 a více",,
"916837791","85","7638","183","3",,,"7700","400002600003000","7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"2","1 a více",,
"916837224","49.9","7638","183","3",,,,,"7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,"0",,
"916837209","59.3","7638","183","3",,,,,,,,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,
"916837454","44.3","7638","183","3",,,"7700","400002600003000","7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"2","0",,
"916836685","91.8","7638","183","3",,,,,,,,,"7700","410075620100000","2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,"čtvrtý (nejvyšší) kvartil"
"916836584","46.8","7638","183","3",,,,,,,,,"7700","410025610050000","2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,"druhý kvartil"
"916838061","63.3","7638","183","3",,,,,,,"7700","445000799999000",,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,"50000 a více",
"916838048","58.7","7638","183","3",,,,,,,"7700","441000645000000",,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,"10000 – 49999",
"916836597","75.1","7638","183","3",,,,,,,,,"7700","410050610075000","2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,"třetí kvartil"
"916837974","57.7","7638","183","3",,,,,,,"7700","432000641000000",,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,"2000 – 9999",
"916838139","21.2","7638","183","3",,,,,,,,,"7700","400000610025000","2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,,"první (nejnižší) kvartil"
"916837563","83","7638","183","3",,,"7700","400003799999000","7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,"3 a více","0",,
"916837961","55.9","7638","183","3",,,,,,,"7700","399999632000000",,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,,"do 1999",
"916837578","84.8","7638","183","3",,,,,"7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Osobní počítač",,,"1 a více",,
"916837876","29.1","7638","182","36",,,"7700","400003799999000","7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,"3 a více","1 a více",,
"916837865","21.7","7638","182","36",,,"7700","400002600003000","7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,"2","1 a více",,
"916836563","9.4","7638","182","36",,,,,,,,,"7700","410025610050000","2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,,,"druhý kvartil"
"916837445","13.8","7638","182","36",,,,,"7700","400000600001000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,"0",,
"916837766","22.9","7638","182","36",,,,,"7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,,"1 a více",,
"916837777","9.1","7638","182","36",,,"7700","400001600002000","7700","400001799999000",,,,,"2010","97","19","Česká republika","Domácností majících elektronické zařízení","Wi-Fi router",,"1","1 a více",,
